,Номер,Название,Жанры,Описание,Рейтинг,Изображение
39,39,Рок-шоу! 3 / Show By Rock!! Mashumairesh!!,Комедия Музыка,"Мирные деньки Хован в родной деревне закончились, когда она получила письмо о том, что прошла первый этап прослушивания. Горя амбициями, она отправилась в Андер Норт Заву ради дальнейшего продвижения. Только вот незадача, похоже, Хован потеряла своё приглашение, без которого не сможет попасть в следующий тур. С горечью в сердце она решает отыскать его, но всё безуспешно. В это же время Делмин, Рухую и Химэко устраивают концерт в надежде найти хозяина бесхозного приглашения. Закончится ли успехом их идея?",6.97,https://desu.shikimori.one/system/animes/preview/40763.jpg?1644820253
40,40,Она и её кот: Всё меняется / Kanojo to Kanojo no Neko: Everything Flows,Романтика Повседневность Психологическое,"Своеобразный ремейк короткометражного аниме «Она и её кот» за авторством Макото Синкая. Аниме освещает будни обычной студентки, которая недавно переехала от мамы к подруге. Теперь она живёт со своим котом, попутно с учёбой пытаясь найти работу.",7.68,https://kawai.shikimori.one/system/animes/preview/32491.jpg?1635249504
41,41,Выдающиеся звери 2 / Beastars 2nd Season,Сёнен Драма Повседневность Психологическое Школа,"Убийство ученика-альпаки, произошедшее на территории академии «Черритон», привело к небывалому росту напряженности между травоядными и хищниками, поэтому необходимо срочно предпринять меры для сохранения мира и гармонии в школе. Предполагается, что с этой задачей справится «выдающийся зверь» — ученик, заслуживший этот особый титул за вклад, внесённый в дело объединения разных видов животных.
Ученики академии «Черритон» уже пять лет не получали этого статуса, а сейчас даже главный кандидат покинул академию. Поэтому ученический совет объявил, что «выдающимся зверем» станет тот, кто поймает убийцу. Тем временем решил расследовать убийство, попутно пытаясь разобраться в чувствах, которые он испытывает к .",7.83,https://nyaa.shikimori.one/system/animes/preview/40935.jpg?1665216308
42,42,Пламенный взор Шаны III: Спецвыпуски / Shakugan no Shana-tan III (Final): Final Destruction,Комедия Пародия,"Несколько эпизодов, невошедших в сериал «Пламенный взор Шаны III», выпущенные только на BD и DVD.",7.03,https://desu.shikimori.one/system/animes/preview/12823.jpg?1633692948
43,43,Собачьи дни: Рекап / Dog Days Recap,Экшен Приключения Фэнтези,Краткий пересказ первых двух сезонов «Собачьи дни» и «Собачьи дни 2». Вышел в эфир одновременно с первым эпизодом третьего сезона.,6.47,https://desu.shikimori.one/system/animes/preview/29413.jpg?1634720867
44,44,Приключения Дигимонов: Золотые Дигименталы / Digimon Adventure 02 Movies,Детское Приключения Фэнтези Фантастика,"Америка, Нью-Йорк. Это именно то место, куда отправились на каникулы трое «избранных» детей — Хикари, Такэру и Мими. Когда ребята решают в очередной раз сфотографироваться, из ниоткуда появляется мистический ветер, который, пролетев полмира, заставил исчезнуть многих «избранных», и сейчас он унёс Мими. Одновременно с этим своего давно пропавшего друга-дигимона ищет таинственный паренёк. Смогут ли оставшиеся «избранные» помочь этому ребёнку? И справятся ли они с новой угрозой?",7.11,https://moe.shikimori.one/system/animes/preview/2962.jpg?1633693586
45,45,Клёст / Isuca,Сэйнэн Экшен Комедия Романтика Сверхъестественное Этти Школа,"Синъитиро ищет работу, чтобы отплатить счета за квартиру. И вот на счастье героя, школьная учительница предлагает ему работу у знакомых — уборка в обыкновенном доме. Ну, как обыкновенном... Не считая того, что его хозяйка — Сакуя, 37-я глава клана Симадзу с замечательной профессией по изгнанию и уничтожению мистических тварей. Как это часто бывает, беда не приходит одна, и Синъитиро случайно выпускает одного из монстров, некогда запечатанного Сакуей. И теперь — хочешь не хочешь — а придётся работать вместе, чтобы поймать его.
Так и начинается эта комедийная история об охоте за чудовищами!",6.0,https://dere.shikimori.one/system/animes/preview/25429.jpg?1635238220
46,46,Длинноногий папочка / Watashi no Ashinaga Ojisan,Сёдзё Комедия Романтика Повседневность Исторический Школа,"Родители Джуди Эбботт умерли, когда она была совсем еще малышкой: так девочка оказалась в приюте Джона Грира, где со временем начала проявлять незаурядные писательские способности. По счастливой случайности одно из эссе Джуди попало в руки к некому Джону Смиту. По достоинству оценив талант девочки, меценат выделяет средства на обучение Джуди в престижной школе, поставив единственное условие — каждый месяц Джуди должна писать Джону Смиту письма, конечно же, не рассчитывая получить ответное письмо.
Личность загадочного благодетеля так и осталась загадкой: лишь однажды успела увидеть его длинноногую тень, за что и прозвала «длинноногим дядюшкой». Но к чему заострять свое внимание на подобных мелочах, когда впереди — новый неизведанный мир со своими школьными приключениями!",7.72,https://nyaa.shikimori.one/system/animes/preview/1375.jpg?1635200029
47,47,Кофе Тадайку / Coffee Tadaiku,Повседневность,,4.95,https://dere.shikimori.one/system/animes/preview/5299.jpg?1664825063
48,48,Пожиратель звёзд 2 / Tunshi Xingkong 2nd Season,Экшен Приключения Фантастика,,7.64,https://kawai.shikimori.one/system/animes/preview/49571.jpg?1663259614
49,49,Китти-Золушка / Hello Kitty no Cinderella,Детское Фэнтези,,6.17,https://kawai.shikimori.one/system/animes/preview/9291.jpg?1635219072
50,50,Рыцари Зодиака: Глава Аида — Преисподняя / Saint Seiya: Meiou Hades Meikai-hen,Сёнен Экшен Приключения Фэнтези Фантастика Демоны Супер сила,,7.74,https://desu.shikimori.one/system/animes/preview/1253.jpg?1664653412
51,51,"Город, в котором меня нет: Рекапы / Boku dake ga Inai Machi Recaps",Сэйнэн Детектив Сверхъестественное Психологическое,"Краткий пересказ первых одиннадцати эпизодов аниме-сериала «Город, в котором меня нет».",7.22,https://nyaa.shikimori.one/system/animes/preview/35815.jpg?1634705460
52,52,Голодные до победы / Hungry to Win,Экшен Спорт,"Реклама с участием игроков футбольной команды «Манчестер Юнайтед» — Уэйном Руни, Робином ван Перси и Анхелем Ди Мария.",5.22,https://kawai.shikimori.one/system/animes/preview/32831.jpg?1659020630
53,53,Тёмная сторона Брюнхильды: Спецвыпуск / Gokukoku no Brynhildr: Kara Sawagi,Сэйнэн Комедия Фантастика Этти Гарем,"Специальный эпизод, выпущенный как дополнение к одиннадцатой серии. Рассказывает о том, кто является лучшей кандидаткой на роль жены Рёты Мураками.",6.6,https://nyaa.shikimori.one/system/animes/preview/24695.jpg?1635237362
54,54,Свобода / Freedom,Экшен Приключения Фантастика Космос,"В 2041 году человечество создало свою первую колонию на Луне. После страшного катаклизма, уничтожившего человеческую цивилизацию на Земле, республика Луны построила куполообразный мегаполис, известный как 'Рай'. В настоящее время в 2267 году мальчик по имени Такеру проводит время, участвуя в уличных гонках машин на воздушной подушке против конкурирующих банд. Он и не подозревает, что начинает путь к разгадке происхождения 'Рая'.",7.42,https://moe.shikimori.one/system/animes/preview/1747.jpg?1635201357
55,55,Термы Рима x REACH / REACH x Thermae Romae: Pietrada no Kekkon,Сэйнэн Комедия Исторический,,5.7,https://nyaa.shikimori.one/system/animes/preview/23895.jpg?1635236575
56,56,Улыбка Эко Гармонии: Управляй своим сердцем / PES: Peace Eco Smile - Drive your Heart,Романтика Фантастика Машины,"Специальный эпизод к аниме «Улыбка Эко Гармонии», который транслировался между 3 и 4 сериями оригинальной ONA. Представляет собой рекламу нового автомобиля Toyota Vios.",4.92,https://kawai.shikimori.one/system/animes/preview/18841.jpg?1635231339
57,57,Поехали на фестиваль Огаки! / Ogaki Matsuri ni Ikou yo!,Романтика,,5.77,https://nyaa.shikimori.one/system/animes/preview/41545.jpg?1644815882
58,58,В поисках полной луны / Full Moon wo Sagashite,Сёдзё Комедия Драма Романтика Сверхъестественное Музыка,"Двенадцатилетняя Мицуки Кояма была шокирована, когда ей поставили диагноз — злокачественная опухоль горла. Она пообещала парню, которого любит, Эйти Сакураи, что однажды станет певицей, но болезнь разрушила её мечты. В довершение всего её посетили два ангела смерти, Такуто Кира и Мэроко Юи, сообщив, что ей осталось жить лишь один год. Это дает ей огромную мотивацию к исполнению своей мечты, и при помощи небольшого божественного вмешательства она начинает свой путь профессиональной певицы, чтобы воссоединиться с Эйти Сакураи, прежде чем время, отведённое ей, подойдёт к концу.",7.94,https://moe.shikimori.one/system/animes/preview/122.jpg?1633690547
59,59,Знаменитые сказки мира: Дюймовочка / Sekai Meisaku Douwa: Oyayubi Hime,Детское Фэнтези,,6.09,https://nyaa.shikimori.one/system/animes/preview/3755.jpg?1635208510
